"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000022876","Samsn1","67742",233.90079327066,2.00061784165115,0.165584052570083,12.0821891395876,1.31180016445678e-33,2.54584443206875e-31
"ENSMUSG00000046718","Bst2","69550",366.186122337613,1.27519926101364,0.105659653110981,12.0689328752029,1.54119856999722e-33,2.96711548695865e-31
"ENSMUSG00000022912","Pros1","19128",1581.66652928085,0.578024656917862,0.0486266290790217,11.8869982942583,1.38287701468823e-32,2.6411853459105e-30
"ENSMUSG00000017760","Ctsa","19025",8288.6046237572,0.514022408418264,0.043291216217586,11.8735959238183,1.62336788962242e-32,3.07609041446958e-30
"ENSMUSG00000006219","Fblim1","74202",285.340315741024,1.13481569778754,0.0958958717462606,11.8338326470429,2.60948746251461e-32,4.90604029573548e-30
"ENSMUSG00000043008","Klhl6","239743",275.35434001818,1.71774554724261,0.145720430809928,11.787952709824,4.50355729525191e-32,8.40140358994087e-30
"ENSMUSG00000029622","Arpc1b","11867",1638.41217607889,0.844743683196219,0.0717517988980443,11.7731359515677,5.36908390186897e-32,9.93900031526745e-30
"ENSMUSG00000048163","Selplg","20345",2650.56526690014,0.742178750945393,0.0632703427483274,11.73027865358,8.91646551587931e-32,1.63797513465371e-29
"ENSMUSG00000034957","Cebpa","12606",1002.74487613889,0.998994320892309,0.0852442707946399,11.7191960419131,1.01631892227922e-31,1.85285718671586e-29
"ENSMUSG00000025351","Cd63","12512",5165.57615087665,0.572051770829381,0.0489960437010314,11.6754686219153,1.70125609949522e-31,3.0782502281468e-29
"ENSMUSG00000004730","Adgre1","13733",678.897141745458,0.95901369669932,0.0824053478784724,11.6377604292579,2.64879731765998e-31,4.75696324249906e-29
"ENSMUSG00000033880","Lgals3bp","19039",3385.00767681079,1.33923750522428,0.115233140421686,11.6219821860573,3.18656003033879e-31,5.68033830593355e-29
"ENSMUSG00000018930","Ccl4","20303",49.6373339588984,5.78693706410304,0.498194599499628,11.6158165301576,3.42500585779085e-31,6.0604974976277e-29
"ENSMUSG00000071713","Csf2rb","12983",246.40676938039,1.48320212264387,0.127926550727498,11.5941695778487,4.41123414684418e-31,7.74863866743103e-29
"ENSMUSG00000032122","Slc37a2","56857",750.446160926881,1.12845390002948,0.0979979286450964,11.5150791004596,1.10757862257837e-30,1.93144054727163e-28
"ENSMUSG00000041797","Abca9","217262",1786.78739447329,0.664843331072637,0.0577459486945445,11.5132463160216,1.13137765149806e-30,1.9587484304533e-28
